OPERATING AGREEMENT	ОПЕРАЦИОННОЕ СОГЛАШЕНИЕ
THIS AGREEMENT is made as of the (the "Effective Date") among , a company existing under the laws of (hereinafter referred to as ); , a company existing under the laws of (hereinafter referred to as ); , a company existing under the laws of (hereinafter referred to as ); and , a company existing under the laws of (hereinafter referred to as ).	НАСТОЯЩЕЕ СОГЛАШЕНИЕ заключено __ ("Дата Вступления в Силу") между __, [компанией/обществом], существующ[ей/им] в соответствии с законодательством __ (далее именуем[ой/ым] "__"); [компанией/обществом], существующ[ей/им] в соответствии с законодательством __ (далее именуем[ой/ым] "__");__' и [компанией/обществом], существующ[ей/им] в соответствии__с законодательством __ (далее именуем[ой/ым] "__").
The companies named above, and their respective successors and assignees (if any), may sometimes individually be referred to as "Party" and collectively as the "Parties".	Поименованные выше компании и их соответствующие правопреемники и цессионарии (при наличии таковых) далее могут по отдельности именоваться "Сторона", а совместно "Стороны".
WITNESSETH:	ПРЕАМБУЛА:
WHEREAS, the Parties have entered into with the (hereinafter referred to as) covering certain areas located in the (the "Contract"); and	ПРИНИМАЯ ВО ВНИМАНИЕ, ЧТО Стороны заключили __ с__(далее именуем__ "__") в отношении определенных территорий, расположенных в __ ("Контракт"); а также
WHEREAS, the Parties desire to define their respective rights and obligations with respect to their operations under the Contract;	ПРИНИМАЯ ВО ВНИМАНИЕ, ЧТО Стороны желают определить свои соответствующие права и обязательства в связи со своей деятельностью в рамках Контракта;
NOW, THEREFORE, in consideration of the premises and the mutual covenants and agreements and obligations set out below and to be performed, the Parties agree as follows:	НАСТОЯЩИМ Стороны, с учетом вышеизложенного, а также изложенных ниже и подлежащих исполнению взаимных обязательств и договоренностей, договорились о нижеследующем:
ARTICLE 1 DEFINITIONS	СТАТЬЯ 1 ОПРЕДЕЛЕНИЯ
[NOTE: Definitions contained in this Agreement must be compared and considered against definitions under the Contract, the applicable laws and regulations of the host country, and the form(s) of entities comprising the Parties]	[ПРИМЕЧАНИЕ: Определения, содержащиеся в настоящем Соглашении, необходимо сверить и изучить на предмет их соответствия определениям по Контракту, применимым законам и подзаконным актам страны, в которой будет исполняться Соглашение, а также организационно-правовым формам лиц, являющихся Сторонами]
As used in this Agreement, the following words and terms shall have the meaning ascribed to them below:	При использовании в настоящем Соглашении следующие слова и термины имеют значения, указанные для них ниже:
1.1 Accounting Procedure means the rules, provisions and conditions contained in Exhibit A.	1.1 Правила Финансовой Отчетности означает правила, положения и условия, содержащиеся в Приложении А.
1.2 AFE means an authorization for expenditure pursuant to Article 6.7.	1.2 РНР означает разрешение на осуществление расходов в соответствии со статьей 6.7.
1.3 Affiliate means a legal entity which Controls, or is Controlled by, or which is Controlled by an entity which Controls, a Party.	1.3 Аффилированное Лицо означает юридическое лицо, которое Контролирует какую-либо Сторону или Контролируется такой Стороной либо каким-либо третьим лицом, Контролирующим такую Сторону.
1.4 Agreed Interest Rate means interest compounded on a monthly basis, at the rate per annum equal to the one (1) month term, London Interbank Offered Rate (LIBOR rate) for U.S. dollar deposits, as published in London by the Financial Times or if not published, then by The Wall Street Journal plus ( ) percentage points, applicable on the first Business Day prior to the due date of payment and thereafter on the first Business Day of each succeeding calendar month.	1.4 Согласованная Процентная Ставка означает проценты, начисляемые ежемесячно по годовой ставке, равной Лондонской межбанковской ставке предложения (ЛИБОР) для депозитов на один месяц в долларах США, публикуемой в Лондоне газетой Файнэншиал Тайме или, при отсутствии публикации в указанном издании, газетой Уолл Стрит Джорнал, плюс __ (__) процентных пунктов, применимой в первый Рабочий День до надлежащей даты платежа, а затем в первый Рабочий День каждого последующего календарного месяца.
If the aforesaid rate is contrary to any applicable usury law, the rate of interest to be charged shall be the maximum rate permitted by such applicable law.	Если вышеупомянутая ставка по какому-либо применимому законодательству считается кабальной, то применяется максимальная допустимая таким законодательством процентная ставка.
1.5 Agreement means this agreement, together with the Exhibits attached to this agreement, and any extension, renewal or amendment hereof agreed to in writing by the Parties.	1.5 Соглашение означает настоящее соглашение вместе с Приложениями к нему, а также вместе с любыми соглашениями о его пролонгации, возобновлении или изменении, согласованными Сторонами в письменной форме.
1.6 Appraisal Well means any well (other than an Exploration Well or a Development Well) whose purpose at the time of commencement of drilling such well is to appraise the extent or the volume of Hydrocarbon reserves contained in an existing Discovery.	1.6 Оценочная Скважина означает любую скважину (кроме Разведочной Скважины или Эксплуатационной Скважины), целью бурения которой на момент его начала является оценка концентрации или объема запасов Углеводородов, содержащихся в существующем Открытии.
1.7 Business Day means a Day on which the banks in are customarily open for business.	1.7 Рабочий День означает любой День, в который банки в __ обычно открыты для ведения деятельности.
1.8 Calendar Quarter means a period of three (3) months commencing with January 1 and ending on the following March 31, a period of three (3) months commencing with April 1 and ending on the following June 30, a period of three (3) months commencing with July 1 and ending on the following September 30, or a period of three (3) months commencing with October 1 and ending on the following December 31, all in accordance with the Gregorian Calendar.	1.8 Календарный Квартал означает срок продолжительностью в 3 (три) месяца, начинающийся 1 января и заканчивающийся 31 марта того же года, срок в 3 (три) месяца, начинающийся 1 апреля и заканчивающийся 30 июня того же года, срок в 3 (три) месяца, начинающийся 1 июля и заканчивающийся 30 сентября того же года, или срок в 3 (три) месяца, начинающийся 1 октября и заканчивающийся 31 декабря того же года по григорианскому календарю.
1.9 Calendar Year means a period of twelve (12) months commencing with January 1 and ending on the following December 31 according to the Gregorian Calendar.	1.9 Календарный Год означает срок продолжительностью в 12 (двенадцать) месяцев, начинающийся 1 января и заканчивающийся 31 декабря того же года по григорианскому календарю.
1.10 Commercial Discovery means any Discovery that is sufficient to entitle the Parties to apply for authorization from the Government to commence exploitation.	1.10 Коммерческое Открытие означает любое Открытие, удовлетворяющее условиям, позволяющим Сторонам обратиться за разрешением Государства на освоение месторождения.
1.11 Completion means an operation intended to complete a well through the Christmas tree as a producer of Hydrocarbons in one or more Zones, including the setting of production casing, perforating, stimulating the well and production Testing conducted in such operation.	1.11 Заканчивание означает операцию, проводимую с целью завершения через фонтанную арматуру, служащей для добычи Углеводородов в одной или более Зонах, включая установку обсадных колонн, перфорирование, интенсификацию притока нефти в скважину и пробную эксплуатацию (Тестирование), осуществляемые при такой операции.
"Complete" and other derivatives shall be construed accordingly.	Термин "Заканчивать" и прочие производные термины получают соответствующее толкование.
1.12 Consenting Party means a Party who agrees to participate in and pay its share of the cost of an Exclusive Operation.	1.12 Присоединившаяся Сторона означает Сторону, согласившуюся участвовать в проведении какой-либо Эксклюзивной Операции и оплачивать свою долю расходов в связи с такой Эксклюзивной Операцией.
